epoch,mseTestNetwork1,mseTestNetwork2
950,325.257,420.644,
951,325.256,420.569,
952,325.256,420.493,
953,325.255,420.418,
954,325.254,420.342,
955,325.254,420.267,
956,325.253,420.192,
957,325.253,420.117,
958,325.252,420.042,
959,325.251,419.967,
960,325.251,419.892,
961,325.25,419.817,
962,325.249,419.742,
963,325.249,419.668,
964,325.248,419.593,
965,325.247,419.519,
966,325.247,419.444,
967,325.246,419.37,
968,325.246,419.295,
969,325.245,419.221,
970,325.244,419.147,
971,325.244,419.073,
972,325.243,418.999,
973,325.242,418.925,
974,325.242,418.851,
975,325.241,418.777,
976,325.24,418.703,
977,325.24,418.629,
978,325.239,418.556,
979,325.238,418.482,
980,325.238,418.409,
981,325.237,418.335,
982,325.236,418.262,
983,325.236,418.189,
984,325.235,418.115,
985,325.234,418.042,
986,325.234,417.969,
987,325.233,417.896,
988,325.232,417.823,
989,325.232,417.75,
990,325.231,417.678,
991,325.23,417.605,
992,325.23,417.532,
993,325.229,417.46,
994,325.228,417.387,
995,325.228,417.315,
996,325.227,417.242,
997,325.226,417.17,
998,325.226,417.098,
999,325.225,417.025,
1000,325.224,416.953,
1001,325.223,416.881,
1002,325.223,416.809,
1003,325.222,416.737,
1004,325.221,416.666,
1005,325.22,416.594,
1006,325.22,416.522,
1007,325.219,416.45,
1008,325.218,416.379,
1009,325.217,416.307,
1010,325.217,416.236,
1011,325.216,416.165,
1012,325.215,416.093,
1013,325.214,416.022,
1014,325.213,415.951,
1015,325.212,415.88,
1016,325.211,415.809,
1017,325.21,415.738,
1018,325.209,415.667,
1019,325.208,415.596,
1020,325.207,415.526,
1021,325.206,415.455,
1022,325.205,415.384,
1023,325.203,415.314,
1024,325.202,415.243,
1025,325.2,415.173,
1026,325.198,415.103,
1027,325.196,415.032,
1028,325.193,414.962,
1029,325.19,414.892,
1030,325.187,414.822,
1031,325.182,414.752,
1032,325.177,414.682,
1033,325.172,414.612,
1034,325.168,414.542,
1035,325.165,414.473,
1036,325.165,414.403,
1037,325.165,414.333,
1038,325.166,414.264,
1039,325.166,414.194,
1040,325.166,414.125,
1041,325.167,414.056,
1042,325.167,413.986,
1043,325.165,413.917,
1044,325.162,413.848,
1045,325.16,413.779,
1046,325.158,413.71,
1047,325.157,413.641,
1048,325.155,413.572,
1049,325.155,413.503,
1050,325.154,413.435,
1051,325.154,413.366,
1052,325.153,413.298,
1053,325.153,413.229,
1054,325.152,413.161,
1055,325.151,413.092,
1056,325.151,413.024,
1057,325.15,412.956,
1058,325.149,412.887,
1059,325.149,412.819,
1060,325.148,412.751,
1061,325.147,412.683,
1062,325.147,412.615,
1063,325.146,412.547,
1064,325.145,412.48,
1065,325.144,412.412,
1066,325.144,412.344,
1067,325.143,412.277,
1068,325.142,412.209,
1069,325.142,412.142,
1070,325.141,412.074,
1071,325.14,412.007,
1072,325.14,411.94,
1073,325.139,411.872,
1074,325.138,411.805,
1075,325.138,411.738,
1076,325.137,411.671,
1077,325.136,411.604,
1078,325.136,411.537,
1079,325.135,411.471,
1080,325.134,411.404,
1081,325.134,411.337,
1082,325.133,411.271,
1083,325.132,411.204,
1084,325.132,411.138,
1085,325.131,411.071,
1086,325.13,411.005,
1087,325.13,410.938,
1088,325.129,410.872,
1089,325.128,410.806,
1090,325.127,410.74,
1091,325.127,410.674,
1092,325.126,410.608,
1093,325.125,410.542,
1094,325.125,410.476,
1095,325.124,410.411,
1096,325.123,410.345,
1097,325.123,410.279,
1098,325.122,410.214,
1099,325.121,410.148,
1100,325.121,410.083,
1101,325.12,410.017,
1102,325.119,409.952,
1103,325.119,409.887,
1104,325.118,409.821,
1105,325.117,409.756,
1106,325.117,409.691,
1107,325.116,409.626,
1108,325.115,409.561,
1109,325.114,409.496,
1110,325.114,409.432,
1111,325.113,409.367,
1112,325.112,409.302,
1113,325.112,409.238,
1114,325.111,409.173,
1115,325.11,409.109,
1116,325.11,409.044,
1117,325.109,408.98,
1118,325.108,408.915,
1119,325.108,408.851,
1120,325.107,408.787,
1121,325.106,408.723,
1122,325.106,408.659,
1123,325.105,408.595,
1124,325.104,408.531,
1125,325.104,408.467,
1126,325.103,408.403,
1127,325.102,408.34,
1128,325.102,408.276,
1129,325.101,408.212,
1130,325.1,408.149,
1131,325.1,408.085,
1132,325.099,408.022,
1133,325.098,407.958,
1134,325.098,407.895,
1135,325.097,407.832,
1136,325.096,407.769,
1137,325.096,407.706,
1138,325.095,407.643,
1139,325.094,407.58,
1140,325.094,407.517,
1141,325.093,407.454,
1142,325.092,407.391,
1143,325.092,407.328,
1144,325.091,407.266,
1145,325.09,407.203,
1146,325.09,407.141,
1147,325.089,407.078,
1148,325.088,407.016,
1149,325.088,406.953,
1150,325.087,406.891,
1151,325.086,406.829,
1152,325.086,406.767,
1153,325.085,406.704,
1154,325.084,406.642,
1155,325.084,406.58,
1156,325.083,406.518,
1157,325.082,406.457,
1158,325.082,406.395,
1159,325.081,406.333,
1160,325.08,406.271,
1161,325.08,406.21,
1162,325.079,406.148,
1163,325.078,406.087,
1164,325.078,406.025,
1165,325.077,405.964,
1166,325.076,405.902,
1167,325.076,405.841,
1168,325.075,405.78,
1169,325.075,405.719,
1170,325.074,405.658,
1171,325.073,405.597,
1172,325.073,405.536,
1173,325.072,405.475,
1174,325.071,405.414,
1175,325.071,405.353,
1176,325.07,405.293,
1177,325.069,405.232,
1178,325.069,405.171,
1179,325.068,405.111,
1180,325.067,405.05,
1181,325.067,404.99,
1182,325.066,404.93,
1183,325.066,404.869,
1184,325.065,404.809,
1185,325.064,404.749,
1186,325.064,404.689,
1187,325.063,404.629,
1188,325.062,404.569,
1189,325.062,404.509,
1190,325.061,404.449,
1191,325.06,404.389,
1192,325.06,404.329,
1193,325.059,404.27,
1194,325.059,404.21,
1195,325.058,404.151,
1196,325.057,404.091,
1197,325.057,404.032,
1198,325.056,403.972,
1199,325.055,403.913,
1200,325.055,403.854,
1201,325.054,403.794,
1202,325.054,403.735,
1203,325.053,403.676,
1204,325.052,403.617,
1205,325.052,403.558,
1206,325.051,403.499,
1207,325.051,403.44,
1208,325.05,403.381,
1209,325.049,403.323,
1210,325.049,403.264,
1211,325.048,403.205,
1212,325.047,403.147,
1213,325.047,403.088,
1214,325.046,403.03,
1215,325.046,402.971,
1216,325.045,402.913,
1217,325.044,402.855,
1218,325.044,402.797,
1219,325.043,402.738,
1220,325.043,402.68,
1221,325.042,402.622,
1222,325.041,402.564,
1223,325.041,402.506,
1224,325.04,402.449,
1225,325.04,402.391,
1226,325.039,402.333,
1227,325.038,402.275,
1228,325.038,402.218,
1229,325.037,402.16,
1230,325.037,402.103,
1231,325.036,402.045,
1232,325.035,401.988,
1233,325.035,401.93,
1234,325.034,401.873,
1235,325.034,401.816,
1236,325.033,401.759,
1237,325.032,401.701,
1238,325.032,401.644,
1239,325.031,401.587,
